game_id,team_id,team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,plus_minus_pts,seconds_played
20191031-2100-lions-rockets,lions,Lions,lions-diego,m,Diego,5,2,5,40.0,1,2,50.0,0,0,0,1,1,2,1,1,7,0,1,0,1,11,-9,1776
20191031-2100-lions-rockets,lions,Lions,lions-gus,m,Gus,5,2,3,66.7,0,1,0,1,4,25.0,0,6,6,1,1,4,0,0,1,3,13,-10,1824
20191031-2100-lions-rockets,lions,Lions,lions-kata,f,Kata,14,5,11,45.5,1,2,50.0,3,4,75.0,1,2,3,1,3,1,0,0,1,3,11,-11,2040
20191031-2100-lions-rockets,lions,Lions,lions-mychelle,f,Mychelle,5,2,8,25.0,1,3,33.3,0,0,0,2,2,4,1,6,0,0,0,4,1,-5,-11,2040
20191031-2100-lions-rockets,lions,Lions,lions-rashid,m,Rashid,7,3,9,33.3,1,5,20.0,0,0,0,0,1,1,0,2,0,0,0,2,0,-2,-7,1225
20191031-2100-lions-rockets,lions,Lions,greenmachine-andris,m,Andris,2,1,3,33.3,0,0,0,0,0,0,0,1,1,4,3,1,0,0,2,0,1,-7,1287
20191031-2100-lions-rockets,rockets,Rockets,rockets-alex,m,AlexCast,4,2,6,33.3,0,1,0,0,2,0,1,11,12,1,4,1,0,0,3,1,6,15,1527
20191031-2100-lions-rockets,rockets,Rockets,rockets-anna,f,Anna,2,1,5,20.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-2,11,956
20191031-2100-lions-rockets,rockets,Rockets,rockets-darnell,m,Darnell,16,7,10,70.0,0,1,0,2,4,50.0,2,3,5,3,1,0,0,0,0,4,22,9,1572
20191031-2100-lions-rockets,rockets,Rockets,rockets-marc,m,Marc,19,7,13,53.8,0,0,0,5,14,35.7,4,2,6,1,1,3,1,0,0,8,22,5,1486
20191031-2100-lions-rockets,rockets,Rockets,rockets-patricia,f,Patricia,4,2,3,66.7,0,0,0,0,0,0,2,1,3,1,4,0,0,0,1,0,2,0,1506
20191031-2100-lions-rockets,rockets,Rockets,rockets-paul,m,Paul,4,2,3,66.7,0,0,0,0,1,0,2,0,2,0,7,4,0,0,3,1,-1,4,1530
20191031-2100-lions-rockets,rockets,Rockets,saturdays-jo,f,Jo,0,0,1,0,0,1,0,0,2,0,1,3,4,1,0,0,0,0,0,1,3,11,1615
